SL NO,NEWSPAPER NAME,LANGUAGE,PERIODICITY,PUBLICATION CITY,2017-2018,2018-2019,2019-2020
2709.0,VRITTA MANAS,MARATHI,DAILY EXCEPTSUNDAY,MUMBAI,"466,480","572,362","125,040"
2710.0,VRUTTA MITRA,HINDI,DAILY(M),MUMBAI,0,0,"6,143"
2711.0,VYAPAR,HINDI,WEEKLY,MUMBAI,0,"6,739","3,507"
2712.0,VYAPAR,GUJARATI,BI-WEEKLY,MUMBAI,0,"8,748","4,559"
2713.0,YESHOBHUMI,HINDI,DAILY(M),MUMBAI,"8,268,280","4,897,934","1,127,445"
2714.0,DAILY DESHONNATI,MARATHI,DAILY(M),NAGPUR,"12,724,916","5,817,038","1,586,548"
2715.0,DAINIK BHASKAR,HINDI,DAILY(M),NAGPUR,"4,452,844","3,249,326","1,396,662"
2716.0,DESH,HINDI,DAILY(E),NAGPUR,0,"86,485","6,143"
2717.0,DESH,MARATHI,DAILY(M),NAGPUR,"20,697","145,399","33,281"
2718.0,INSAF KI HAKIKAT,HINDI,WEEKLY,NAGPUR,0,"6,496",0
2719.0,LOKMAT,MARATHI,DAILY(M),NAGPUR,"18,672,450","9,463,458","3,593,531"
2720.0,LOKMAT SAMACHAR,HINDI,DAILY(M),NAGPUR,"2,116,761","1,971,865","557,878"
2721.0,LOKMAT TIMES,ENGLISH,DAILY(M),NAGPUR,"101,042","128,707","27,867"
2722.0,LOKSATTA,MARATHI,DAILY(M),NAGPUR,"550,610","612,883","156,011"
2723.0,LOKSHAHI VARTA,MARATHI,DAILY(M),NAGPUR,"1,643,341","3,144,053","758,257"
2724.0,MAHARASHTRA TIMES,MARATHI,DAILY(M),NAGPUR,0,"75,063","64,601"
2725.0,NAGPUR POST,ENGLISH,DAILY(E),NAGPUR,"107,921","75,797","6,143"
2726.0,NATIONAL SANDESH,HINDI,DAILY(E),NAGPUR,"1,290,666","285,993","159,108"
2727.0,NAV BHARAT,HINDI,DAILY(M),NAGPUR,"35,238,166","23,241,766","9,482,354"
2728.0,NAVA RASHTRA,MARATHI,DAILY(M),NAGPUR,"5,201,340","5,733,044","3,370,669"
2729.0,PUNYA NAGARI,MARATHI,DAILY(M),NAGPUR,"1,139,712","582,701","135,322"
2730.0,RASHTRA PATRIKA,HINDI,WEEKLY,NAGPUR,"20,403","92,441","22,988"
2731.0,RASHTRA PRAKASH,HINDI,DAILY(M),NAGPUR,"497,543","708,337",0
2732.0,SAKAL,MARATHI,DAILY(M),NAGPUR,"722,319","1,119,367","406,923"
2733.0,TARUN BHARAT,MARATHI,DAILY(M),NAGPUR,"4,287,798","1,866,160","675,921"
2734.0,THE HITAVADA,ENGLISH,DAILY(M),NAGPUR,"8,376,134","4,796,380","2,346,653"
2735.0,THE INDIAN EXPRESS,ENGLISH,DAILY(E),NAGPUR,"372,980","332,402","145,687"
2736.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),NAGPUR,"1,119,281","1,539,877","370,303"
2737.0,UDYACHI KHABAR AAJ,MARATHI,DAILY(E),NAGPUR,"52,704","23,673","6,143"
2738.0,VIDARBHA CHANDIKA,HINDI,WEEKLY,NAGPUR,"259,218","308,267","38,424"
2739.0,VIDARBHA KI BAAT,HINDI,DAILY(M),NAGPUR,"344,656","306,000","169,478"
2740.0,VIDARBHA PUKAR,HINDI,DAILY(E),NAGPUR,"97,427","33,610",0
2741.0,VIGYAPAN KI DUNIYA,HINDI,WEEKLY,NAGPUR,0,"9,343","6,467"
2742.0,YUGDHARMA,HINDI,DAILY(E),NAGPUR,"426,247","482,958","153,534"
2743.0,YUVA RASHTRA DARSHAN,MARATHI,DAILY(M),NAGPUR,0,0,"6,143"
2744.0,DAILY DESHONNATI,MARATHI,DAILY(M),NANDED,"651,753","574,051","174,439"
2745.0,GAONWALA,MARATHI,DAILY(M),NANDED,"266,273","141,893","36,754"
2746.0,PRAJAWANI,MARATHI,DAILY(M),NANDED,0,"38,160",0
2747.0,PUNYA NAGARI,MARATHI,DAILY(M),NANDED,"284,305","266,380","239,638"
2748.0,ROZNAMA ASIA EXPRESS,URDU,DAILY(M),NANDED,"435,546","326,253",0
2749.0,SHRAMIK EKJOOT,MARATHI,DAILY(M),NANDED,"205,842","265,891","84,859"
2750.0,AWAMI AWAZ,URDU,WEEKLY,NASHIK,0,"7,786",0
2751.0,BHRAMAR,MARATHI,DAILY(E),NASHIK,"161,912","97,219","4,541"
2752.0,DESHDOOT,MARATHI,DAILY(M),NASHIK,"633,751","324,460","245,283"
2753.0,DESHDOOT TIMES,ENGLISH,DAILY(E),NASHIK,"158,985","84,831",0
2754.0,DISCIPLINE,URDU,WEEKLY,NASHIK,0,"7,786",0
2755.0,DISCIPLINE,URDU,DAILY(M),NASHIK,"70,042","41,023","18,670"
2757.0,LOKMANTHAN,MARATHI,DAILY(M),NASHIK,"396,666","896,051","36,060"
2758.0,LOKMAT,MARATHI,DAILY(M),NASHIK,"6,332,122","3,076,825","1,263,620"
2759.0,LOKMAT TIMES,ENGLISH,DAILY(M),NASHIK,"449,977","286,999","35,139"
2760.0,MAHARASHTRA TIMES,MARATHI,DAILY(M),NASHIK,0,"10,658","69,523"
2761.0,NAVA BHARAT,HINDI,DAILY(M),NASHIK,"657,240","4,289,439","1,243,650"
2762.0,PUNYANAGARI,MARATHI,DAILY(M),NASHIK,"894,738","1,068,023","252,821"
2763.0,SAKAL,MARATHI,DAILY(M),NASHIK,"1,942,863","1,327,794","540,024"
2764.0,RAJDHARAM,MARATHI,DAILY(M),OSMANABAD,0,"185,047","136,897"
2765.0,GAONWALA,MARATHI,DAILY(M),PARBHANI,"388,206","213,285","15,177"
2766.0,HADAPSAR EXPRESS,HINDI,WEEKLY,PUNE,0,"5,616",0
2767.0,AAJ KA ANAND,HINDI,DAILY(M),PUNE,"13,104,662","8,752,827","4,007,522"
2768.0,AGROWON,MARATHI,DAILY(M),PUNE,"261,565","364,433","108,904"
2769.0,BHARAT DIARY,HINDI,DAILY(M),PUNE,"135,913","122,436","18,429"
2770.0,BUSINESS STANDARD,ENGLISH,DAILY(M),PUNE,"1,285,587","365,717","102,843"
2771.0,DAILY PUDHARI,MARATHI,DAILY(M),PUNE,"8,718,065","3,399,845","1,005,778"
2772.0,DAYITVA,HINDI,WEEKLY,PUNE,0,0,"6,467"
2773.0,DAYITVA,MARATHI,DAILY(M),PUNE,"45,538","24,397",0
2774.0,HINDUSTAN TIMES,ENGLISH,DAILY(M),PUNE,0,"535,515","435,766"
2775.0,INDIAN EXPRESS,ENGLISH,DAILY(M),PUNE,"1,864,700","2,833,912","2,264,777"
2776.0,KATRAJCHYA BOGDYATUN,MARATHI,WEEKLY,PUNE,"3,663","7,786",0
2777.0,KESARI,MARATHI,DAILY(M),PUNE,"3,863,416","2,403,639","1,100,110"
2778.0,LIFE 365,ENGLISH,DAILY(M),PUNE,"124,111","371,083","67,032"
2779.0,LOKMANTHAN,MARATHI,DAILY(M),PUNE,"519,128","464,602","79,650"
2780.0,LOKMANYA SANJVARTA,MARATHI,DAILY EXCEPTSUNDAY,PUNE,"152,657","148,571","12,422"
2781.0,LOKMAT,MARATHI,DAILY(M),PUNE,"4,498,810","11,173,401","3,229,159"
2782.0,LOKSATTA,MARATHI,DAILY(M),PUNE,"1,154,769","1,032,529","451,334"
2783.0,MAHARASHTRA TIMES,MARATHI,DAILY(M),PUNE,"882,535","2,423,971","174,157"
2784.0,MUMBAI CHOUFER,MARATHI,DAILY(M),PUNE,"255,726","121,620","52,740"
2785.0,NAV RASHTRA,MARATHI,DAILY(M),PUNE,0,"2,782,449","2,436,846"
2786.0,NAVA BHARAT,HINDI,DAILY(M),PUNE,"13,151,248","11,290,781","2,048,018"
2787.0,PRABHAT,MARATHI,DAILY(M),PUNE,"2,267,949","1,049,511","364,958"
2788.0,PROMPT TIMES,ENGLISH,DAILY(M),PUNE,0,"14,669",0
2789.0,PUNE TIMES MIRROR,ENGLISH,DAILY(M),PUNE,"754,419","589,815","148,236"
2790.0,PUNYANAGARI,MARATHI,DAILY(M),PUNE,"1,177,404","828,700","181,775"
2791.0,SAKAL,MARATHI,DAILY(M),PUNE,"65,748,663","34,410,827","12,065,019"
2792.0,SANDHYANAND,MARATHI,DAILY(M),PUNE,"5,349,651","5,526,095","1,101,568"
2793.0,SAPTAHIK SAKAL,MARATHI,WEEKLY,PUNE,"60,164","93,169",0
2794.0,THE ECONOMIC TIMES,ENGLISH,DAILY(M),PUNE,"2,462,375","1,134,951","229,748"
2795.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),PUNE,"8,885,376","8,052,330","1,933,296"
2796.0,KRUSHIVAL,MARATHI,DAILY(M),RAIGAD,"1,440,775","596,535","26,383"
2797.0,MAHARASHTRA JANMAT,MARATHI,DAILY(M),RAIGAD,"474,575",0,0
2798.0,RATNAGIRI TIMES,MARATHI,DAILY(M),RATNAGIRI,"51,301","1,773,974","1,092,977"
2799.0,DAKSHIN MAHARASHTRA KESRI,MARATHI,DAILY(M),SANGLI,"550,244","760,399","149,007"
2800.0,LALKAR,MARATHI,DAILY(M),SANGLI,"312,228","780,993","159,938"
2801.0,LOKMANTHAN,MARATHI,DAILY(M),SATARA,"698,807","1,007,877","116,633"
2802.0,MUKTAGIRI,MARATHI,DAILY(M),SATARA,"139,387","202,929","77,614"
2803.0,PUNYA NAGARI,MARATHI,DAILY(M),SATARA,"126,957","267,391","113,369"
2804.0,SAKAL,MARATHI,DAILY(M),SATARA,"1,072,974","782,707","275,104"
2805.0,SANJA WAAT,MARATHI,DAILY(E),SATARA,"468,328","390,524","29,866"
2806.0,DIVYA MARATHI,MARATHI,DAILY(M),SOLAPUR,"265,331","948,522","82,082"
2807.0,FOUJDAR SAHEB,MARATHI,WEEKLY,SOLAPUR,0,"2,808",0
2808.0,KRANTI SAMACHAR,MARATHI,WEEKLY,SOLAPUR,0,"5,616","3,507"
2809.0,LOKMAT,MARATHI,DAILY(M),SOLAPUR,"293,885","901,673","303,429"
2810.0,MAHARSHI,MARATHI,WEEKLY,SOLAPUR,0,"5,616","6,467"
2811.0,PUNYA NAGARI,MARATHI,DAILY(M),SOLAPUR,"331,040","283,138","133,742"
2812.0,RAJASWA,MARATHI,DAILY(E),SOLAPUR,0,0,"9,618"
2813.0,SAKAL,MARATHI,DAILY(M),SOLAPUR,"962,954","728,176","190,528"
2814.0,SANCHAR,MARATHI,DAILY(M),SOLAPUR,"260,934","296,918","76,413"
2815.0,SHOURYA,MARATHI,WEEKLY,SOLAPUR,0,"5,616","3,507"
2816.0,SOLAPUR DANAKA,MARATHI,WEEKLY,SOLAPUR,0,"5,616","3,507"
2817.0,SOLAPUR PUTRA,MARATHI,WEEKLY,SOLAPUR,0,"5,616","3,507"
2818.0,SOLAPUR TARUN BHARAT,MARATHI,DAILY(M),SOLAPUR,"811,357","2,076,003","564,244"
2819.0,AMRIT KALASH,MARATHI,DAILY(M),THANE,"8,983","20,539","4,541"
2820.0,BITTAMBATAMI,MARATHI,DAILY(M),THANE,0,0,"4,541"
2822.0,DHANUSH DHARI,HINDI,DAILY(M),THANE,"232,191","208,864","46,812"
2823.0,JAGAT BHARTI,HINDI,WEEKLY,THANE,0,"3,893",0
2824.0,JAN KHULASA,MARATHI,DAILY(M),THANE,"375,860","258,867","99,098"
2825.0,NEW INDIA HERALD,HINDI,DAILY(M),THANE,0,"65,376","11,925"
2826.0,PUNYANAGARI,MARATHI,DAILY(M),THANE,"1,988,711","1,127,384","536,130"
2827.0,TARUN MITRA,HINDI,DAILY(M),THANE,"617,256","294,444","18,429"
2828.0,TIMES DAY,ENGLISH,DAILY(M),THANE,0,"299,995","42,957"
2829.0,JAN SANGRAM,MARATHI,DAILY(M),WARDHA,0,"47,845","13,671"
2830.0,MAHASAGAR,MARATHI,DAILY(M),WARDHA,"195,984","113,953","7,227"
2831.0,SAHASIK,MARATHI,DAILY(M),WARDHA,"296,115","189,284","82,238"
2832.0,LOK PATH,MARATHI,DAILY(M),WASHIM,0,0,"23,383"
2833.0,MATHRUBHUMI,MARATHI,DAILY(M),WASHIM,"188,622","38,956",0
2834.0,MAHASAGAR,MARATHI,DAILY(M),YAVATMAL,"165,651","82,261","38,424"
2835.0,MATRUBHUMI,MARATHI,DAILY(M),YAVATMAL,"235,694","19,803",0
2836.0,NIRBHAY SANCHAR,MARATHI,DAILY(M),YAVATMAL,"92,991","48,226","18,188"
2837.0,UDAYACHI BAAT,MARATHI,DAILY(M),YAVATMAL,"50,709","88,537","13,723"
2838.0,VIDARBHA MATADAR,MARATHI,DAILY(M),YAVATMAL,"1,185,905","766,753","284,729"
2839.0,EIMI TIMES,THADOU-KUKI,DAILY(M),IMPHAL,0,"452,606","53,450"
2840.0,HUEIYEN LANPAO,MANIPURI,DAILY(M),IMPHAL,"1,567,933","1,071,719","495,535"
2841.0,HUEIYEN LANPAO,MEETEILON,DAILY(M),IMPHAL,"755,191","853,731","176,905"
2842.0,ICHEL EXPRESS,MANIPURI,DAILY(M),IMPHAL,"31,112","640,865","103,624"
2843.0,IMPHAL FREE PRESS,ENGLISH,DAILY(M),IMPHAL,"875,974","1,851,213","786,408"
2844.0,MANIPUR CHRONICLE,ENGLISH,DAILY(E),IMPHAL,"1,859,735","1,465,663","550,270"
2845.0,MANIPUR MAIL,ENGLISH,DAILY(M),IMPHAL,"963,864","742,762","131,130"
2846.0,NAHAROLGI THOUDANG,MANIPURI,DAILY(M),IMPHAL,"1,992,203","1,349,363","142,599"
2847.0,POKNAPHAM,MANIPURI,DAILY(M),IMPHAL,"7,735,593","5,824,203","2,689,107"
2848.0,SANALEIBAK,MANIPURI,DAILY(M),IMPHAL,"1,044,319","542,122","165,296"
2849.0,THE PEOPLES CHRONICLE,ENGLISH,DAILY(M),IMPHAL,"908,636","662,838","260,328"
2850.0,THE SANGAI EXPRESS,MANIPURI,DAILY(M),IMPHAL,"8,031,642","5,270,107","2,341,524"
2851.0,THE SANGAI EXPRESS,ENGLISH,DAILY(M),IMPHAL,0,"955,848","966,456"
2852.0,CHOICE TIMES,HINDI,DAILY(M),SHILLONG,"3,240,753","2,333,132","325,320"
2853.0,EASTERN CHRONICLE,ENGLISH,DAILY(M),SHILLONG,"362,828",0,0
2854.0,KYNJATSHAI MAN KA SNGI,KHASI,DAILY(M),SHILLONG,0,"347,069",0
2855.0,MAWPHOR,KHASI,DAILY(M),SHILLONG,"464,419","1,495,845","637,702"
2856.0,MEGHALAYA GUARDIAN,ENGLISH,DAILY(M),SHILLONG,"863,248","1,053,719","332,840"
2857.0,MEGHALAYA TIMES,ENGLISH,DAILY(M),SHILLONG,"254,400","1,112,945","716,393"
2858.0,RUPANG,KHASI,DAILY(M),SHILLONG,"825,114","1,241,609","303,545"
2859.0,SHILLONG SAMAY,HINDI,DAILY EXCEPTSUNDAY,SHILLONG,"229,961","373,523","41,537"
2860.0,THE SHILLONG TIMES,ENGLISH,DAILY(M),SHILLONG,"7,453,535","4,326,951","2,353,877"
2861.0,U NONGSAIN HIMA,KHASI,DAILY(M),SHILLONG,"3,603,399","2,637,249","638,749"
2862.0,U PEITNGOR,KHASI,DAILY(M),SHILLONG,"2,119,639","1,011,373","448,898"
2863.0,SALANTINI JANERA,GARO,DAILY(M),TURA,"717,379","669,260","225,071"
2864.0,HIGHLANDER,ENGLISH,DAILY(M),AIZAWL,"2,503,579","1,602,755","795,281"
2865.0,MIZORAM POST,ENGLISH,DAILY(M),AIZAWL,"7,421,027","6,782,530","3,514,595"
2866.0,THE AIZAWL POST,MIZO,DAILY(M),AIZAWL,0,"2,214,607","738,925"
2867.0,THE ZOZAM TIMES,MIZO,DAILY EXCEPTSUNDAY,AIZAWL,"2,377,743","1,606,115","702,792"
2868.0,VANGLAINI,MIZO,DAILY(M),AIZAWL,"2,919,107","3,246,245","1,513,499"
2869.0,EASTERN MIRROR,ENGLISH,DAILY(M),DIMAPUR,"5,052,539","3,783,470","1,586,401"
2870.0,NAGALAND PAGE,ENGLISH,DAILY(M),DIMAPUR,"526,803","499,877","194,358"
2871.0,NAGALAND POST,ENGLISH,DAILY(M),DIMAPUR,"7,051,398","7,002,778","2,772,119"
2872.0,THE MORUNG EXPRESS,ENGLISH,DAILY(M),DIMAPUR,"3,807,697","2,027,584","738,328"
2873.0,TIR YIMYIM,NAGA,DAILY(M),DIMAPUR,"1,369,835","842,044","264,068"
2874.0,CAPI,NAGA,DAILY EXCEPTSUNDAY,KOHIMA,"433,140","331,001","100,568"
2875.0,THE ANUSILAN,ODIA,FORTNIGHTLY,ANGUL,0,"10,348","8,120"
2876.0,NYAYABATI,ODIA,DAILY(M),ATHGARH,0,0,"186,787"
2877.0,KOSHALA PRABAHA,ODIA,WEEKLY,BALANGIR,0,"7,789","6,467"
2878.0,AJIKALI,ODIA,DAILY(M),BALASORE,"6,435,684","3,051,557","1,327,617"
2879.0,ANUDHYANA,ODIA,DAILY(M),BALASORE,"381,966","170,973","6,143"
2880.0,DHWANI PRATIDHWANI,ODIA,DAILY(M),BALASORE,"463,414","850,091","222,194"
2881.0,JUGASHREE JUGANARI,ODIA,MONTHLY,BALASORE,0,"81,356","47,307"
2882.0,ODISHA KHABAR,ODIA,DAILY(M),BALASORE,"1,126,151","167,848","40,789"
2883.0,SAMAYARA CHAKRA,ODIA,MONTHLY,BALASORE,0,"6,864","8,579"
2884.0,SAMBAD BAHIKA,ODIA,FORTNIGHTLY,BALASORE,0,"6,496",0
2886.0,THE KALANTAR,ODIA,DAILY(E),BALASORE,"9,863","73,448","37,085"
2887.0,THE NUTANBARTA,ODIA,DAILY(E),BALASORE,"316,917","522,081","301,878"
2888.0,ANUPAM BHARAT,ODIA,DAILY(M),BERHAMPUR,"2,122,189","1,716,354","676,392"
2889.0,DHARITRI,ODIA,DAILY(M),BERHAMPUR,"1,386,777","521,231","202,138"
2890.0,PRATIDIN,ODIA,DAILY(M),BERHAMPUR,"798,272","1,943,200","529,467"
2891.0,THE NABEEN,ODIA,WEEKLY,BERHAMPUR,0,"5,174",0
2892.0,BEHURA,ODIA,DAILY(E),BHADRAK,"18,397","127,649",0
2893.0,ODISHA SWABHIMAN,ODIA,MONTHLY,BHADRAK,"17,710","30,749",0
2894.0,THE SAKALA,ODIA,DAILY(M),BHADRAK,"933,896","1,310,060","387,863"
2895.0,AKHBARNAMA,URDU,DAILY(M),BHUBANESWAR,"601,415","1,109,685","156,311"
2896.0,AMARIKATHA,ODIA,DAILY(M),BHUBANESWAR,"222,498","68,862","9,413"
2897.0,ANUPAM BHARAT,ODIA,DAILY(M),BHUBANESWAR,"96,457","131,707","22,333"
2898.0,ASHA PRADEEP,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2899.0,AWHAWAN,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2900.0,BIMA CHRONICLE,ENGLISH,FORTNIGHTLY,BHUBANESWAR,0,"10,348",0
2901.0,BUSINESS STANDARD,ENGLISH,DAILY EXCEPTSUNDAY,BHUBANESWAR,"997,249","305,613","63,508"
2902.0,CAPITAL POSTER,ODIA,WEEKLY,BHUBANESWAR,0,"10,348","6,467"
2903.0,DAKSHYATA,ODIA,WEEKLY,BHUBANESWAR,0,"6,496","6,467"
2904.0,DARSHANA,ODIA,DAILY(M),BHUBANESWAR,"314,455","982,994","100,806"
2905.0,DHARITRI,ODIA,DAILY(M),BHUBANESWAR,"24,789,025","7,558,013","3,516,225"
2906.0,DINALIPI,ODIA,DAILY(M),BHUBANESWAR,"4,944,764","3,360,615","352,372"
2907.0,DUNIYA KHABAR,ENGLISH,DAILY(M),BHUBANESWAR,0,0,"9,413"
2908.0,HIRANCHAL,ODIA,DAILY(M),BHUBANESWAR,"79,585","68,640","14,876"
2909.0,INDIA CORRIDOR,ENGLISH,MONTHLY,BHUBANESWAR,"62,289","28,629",0
2910.0,INDUS VALLEY TIMES,ENGLISH,FORTNIGHTLY,BHUBANESWAR,0,"6,496","6,467"
2911.0,JANAMATA PARIKRAMA,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2912.0,JUBA MORCHA,ODIA,WEEKLY,BHUBANESWAR,0,"6,496",0
2913.0,KADAMBINI,ODIA,MONTHLY,BHUBANESWAR,0,"11,816",0
2914.0,KALINGA BHARATI,HINDI,DAILY(M),BHUBANESWAR,0,"9,937","7,348"
2915.0,KALINGA MAIL,ODIA,DAILY(M),BHUBANESWAR,"309,981","357,578","59,924"
2916.0,KRANTIDHARA,ODIA,DAILY(M),BHUBANESWAR,"581,067","680,232","26,647"
2917.0,LOKA SAMPARKA,ODIA,WEEKLY,BHUBANESWAR,0,"6,496","6,467"
2918.0,LOKANEETI,ODIA,FORTNIGHTLY,BHUBANESWAR,0,"7,789",0
2919.0,MAHABHARAT,ODIA,DAILY(M),BHUBANESWAR,"152,051","113,525","9,413"
2920.0,MALLAHAR,ODIA,DAILY(M),BHUBANESWAR,"126,567","54,299","70,552"
2921.0,MANABIKATAR KATHA,ODIA,MONTHLY,BHUBANESWAR,0,"9,963","6,791"
2922.0,MANTHAN,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2923.0,MANTHAN,ODIA,DAILY(M),BHUBANESWAR,"347,104","626,432","218,991"
2924.0,MEDIA AGE,ODIA,FORTNIGHTLY,BHUBANESWAR,0,"7,789",0
2925.0,NAKSHATRA JYOTI,ODIA,DAILY(M),BHUBANESWAR,"4,983","64,611",0
2926.0,NANDINI,ODIA,WEEKLY,BHUBANESWAR,0,"10,348","9,737"
2927.0,NARI KALYAN,ODIA,FORTNIGHTLY,BHUBANESWAR,0,"7,789",0
2928.0,NAVA BHARAT,HINDI,DAILY(M),BHUBANESWAR,0,0,"159,066"
2929.0,NETA,ODIA,WEEKLY,BHUBANESWAR,0,0,"6,467"
2930.0,NIJUKTI KHABAR,ODIA,WEEKLY,BHUBANESWAR,0,"18,694","35,932"
2931.0,NITIDIN,ODIA,DAILY(M),BHUBANESWAR,"24,163","3,186,822","1,138,274"
2932.0,ODISHA BHASKAR,ODIA,DAILY(M),BHUBANESWAR,"5,842,241","8,366,730","3,159,921"
2933.0,ODISHA EXPRESS,ODIA,DAILY(M),BHUBANESWAR,"5,059,999","4,405,582","3,166,569"
2934.0,ODISHA EXPRESS,ODIA,WEEKLY,BHUBANESWAR,0,"45,372","8,120"
2935.0,ODISHA NEWS,ODIA,FORTNIGHTLY,BHUBANESWAR,0,"12,418","6,467"
2936.0,ODISHA SANDESH,ODIA,WEEKLY,BHUBANESWAR,0,"10,348","6,467"
2937.0,ODIYARA SANMANA,ODIA,WEEKLY,BHUBANESWAR,0,"7,789","37,803"
2938.0,ORISSA POST,ENGLISH,DAILY(M),BHUBANESWAR,"1,038,308","939,547","714,944"
2939.0,ORISSA TODAY,ENGLISH,DAILY(E),BHUBANESWAR,"17,570","246,836","43,936"
2940.0,PARYABEKHYAK,ODIA,DAILY(M),BHUBANESWAR,"146,656","196,021","35,769"
2941.0,PRAGATIVADI,ODIA,DAILY(M),BHUBANESWAR,"21,325,344","11,067,407","3,592,076"
2942.0,PRAMEYA,ODIA,DAILY(M),BHUBANESWAR,"29,327,355","25,542,587","8,993,862"
2943.0,PRATIDIN,ODIA,DAILY(M),BHUBANESWAR,"3,567,431","3,122,447","936,038"
2944.0,PRATIGYAN,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2945.0,PRATISRUTI PLUS,ENGLISH,FORTNIGHTLY,BHUBANESWAR,0,"7,789",0
2946.0,PRAVARI,ODIA,DAILY(M),BHUBANESWAR,"62,895",0,0
2947.0,SABUJA ODISAR KH.PHARDA,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2948.0,SAHASA,ODIA,WEEKLY,BHUBANESWAR,0,"6,496",0
2949.0,SAMBAD,ODIA,DAILY(M),BHUBANESWAR,"47,544,495","20,554,561","8,591,417"
2950.0,SAMBAD KALIKA,ODIA,DAILY(M),BHUBANESWAR,"5,235,354","192,385","131,475"
2952.0,SANMARG,HINDI,DAILY(M),BHUBANESWAR,"120,156","115,023","9,058"
2953.0,SANSKRUT BHASA,ODIA,FORTNIGHTLY,BHUBANESWAR,0,"6,496","6,467"
2954.0,SARBASADHARANA,ODIA,DAILY(M),BHUBANESWAR,0,"80,510",0
2955.0,SASANA KHABAR,ODIA,DAILY(M),BHUBANESWAR,0,0,"6,143"
2956.0,SATYA KHABAR,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2957.0,SATYARA SWARA NIRBHAY,ODIA,DAILY(M),BHUBANESWAR,0,"1,189,633","325,374"
2958.0,SINDHUJA,ODIA,MONTHLY,BHUBANESWAR,0,"12,506",0
2959.0,SOOCHANA PATRA,ODIA,WEEKLY,BHUBANESWAR,0,"7,789",0
2960.0,SPECIAL OPINION,ENGLISH,FORTNIGHTLY,BHUBANESWAR,0,"6,496","6,467"
2961.0,SRUTI,ODIA,DAILY(M),BHUBANESWAR,"278,948","1,392,819","143,681"
2962.0,SURYAPRAVA,ODIA,DAILY(M),BHUBANESWAR,"1,231,192","248,447","26,825"
2963.0,SWADHIKAR,ODIA,WEEKLY,BHUBANESWAR,0,"18,694","9,737"
2964.0,THE INDIAN ERA,ENGLISH,DAILY(M),BHUBANESWAR,"91,114","84,144","30,640"
2965.0,THE INDUSTRY AND MINESOBSERVER,ENGLISH,FORTNIGHTLY,BHUBANESWAR,0,"8,313",0
2966.0,THE KHOLADWAR,ODIA,DAILY(M),BHUBANESWAR,"64,730","60,723","9,413"
2967.0,THE NEW INDIAN EXPRESS,ENGLISH,DAILY(M),BHUBANESWAR,"1,773,290","1,468,169","965,843"
2968.0,THE NYAYABATI,ODIA,DAILY(M),BHUBANESWAR,0,0,"9,413"
2969.0,THE PIONEER,ENGLISH,DAILY(M),BHUBANESWAR,"524,195","423,220",0
2970.0,THE SAMAYA,ODIA,DAILY(M),BHUBANESWAR,"1,607,317","4,112,893","1,880,937"
2971.0,THE STATESMAN,ENGLISH,DAILY(M),BHUBANESWAR,"486,718","262,362",0
2972.0,THE TIMES OF INDIA,ENGLISH,DAILY(M),BHUBANESWAR,"1,920,864","3,504,406","1,050,697"
2973.0,UNNATI PATHE,ODIA,WEEKLY,BHUBANESWAR,0,"7,786","6,467"
2974.0,UTKAL MAIL,ODIA,DAILY(M),BHUBANESWAR,"118,129","257,790","41,389"
2975.0,UTKALMAIL HINDI DAILY,HINDI,DAILY(M),BHUBANESWAR,"29,084","224,808","65,840"
2976.0,VISWABANI,ODIA,DAILY(M),BHUBANESWAR,0,0,"6,143"
2977.0,HIRANCHAL,ODIA,WEEKLY,BOUDDHA,0,"7,789",0
2978.0,DESABARTA,ODIA,DAILY(M),CUTTACK,"237,384","103,399","71,234"
2979.0,DURMUKHA,ODIA,WEEKLY,CUTTACK,0,"6,496",0
2980.0,KRUSHAK SAMBAD,ODIA,MONTHLY,CUTTACK,0,"13,039",0
2981.0,MATRUBHASA,ODIA,DAILY(M),CUTTACK,"6,185,085","723,974","689,940"
2982.0,PRAJATANTRA,ODIA,DAILY(E),CUTTACK,"13,223,534","6,301,934","3,271,484"
2983.0,PRALAYA,ODIA,MONTHLY,CUTTACK,"10,760","10,866","6,791"
2984.0,RAJANITEE EXPRESS,ODIA,WEEKLY,CUTTACK,0,"10,348","6,467"
2985.0,RASHTRA DEEP,ODIA,WEEKLY,CUTTACK,0,"8,313","8,255"
2986.0,SATYA APARADHA KAHANEE,ODIA,MONTHLY,CUTTACK,0,"10,243","8,579"
2987.0,THE BISWAS,ODIA,FORTNIGHTLY,CUTTACK,0,"6,496","6,467"
2988.0,THE KLAINGA PRAVA,ODIA,FORTNIGHTLY,CUTTACK,0,"10,348","8,120"
2989.0,THE POLITICAL AND BUSINESSDAILY,ENGLISH,DAILY(M),CUTTACK,"77,312","489,372","272,124"
